frame,wall_s,sim_time_s,frame_ms,cpu_ms,gpu_ms,gpu_available,steps,fixed_dt_s,sim_cpu_ms,sim_advanced_s,requested_warp,effective_warp,backlog_ms,bodies,vehicles,patches_visible,patches_generated,triangles,cache_hits,cache_misses,streaming_queued,assets_pending,rss_bytes,scope:frame.cpu_ms,scope:render.atmosphere_ms,scope:sim.total_ms,scope:world.streaming_ms,scope:world.terrain_materials_ms,scope:world.terrain_meshing_ms
958,249.9110,79.9667,74.9998,11.1262,,false,9,0.008333,3.7236,0.0750,1.00,1.00,3.3934,22,1,40,0,53760,191,191,0,0,828608512,11.1262,0.0829,3.7236,1.1918,0.0000,0.0000
959,250.0100,80.0500,83.5076,27.0381,,false,10,0.008333,4.0306,0.0833,1.00,1.00,3.5677,22,1,40,0,53760,191,191,0,0,824856576,27.0381,0.0661,4.0306,17.3648,0.0000,0.0000
960,250.0726,80.1250,78.1231,11.3258,,false,9,0.008333,3.0464,0.0750,1.00,0.96,6.6908,22,1,40,0,53760,191,191,0,0,824856576,11.3258,0.1306,3.0464,1.4748,0.0000,0.0000
961,250.1552,80.2083,81.5827,12.4298,,false,10,0.008333,4.5153,0.0833,1.00,1.00,4.9401,22,1,40,0,53760,191,191,0,0,824856576,12.4298,0.1029,4.5153,1.5410,0.0000,0.0000
962,250.2394,80.2917,83.6869,12.9075,,false,10,0.008333,4.5216,0.0833,1.00,1.00,5.2936,22,1,40,0,53760,191,191,0,0,824856576,12.9075,0.0744,4.5216,1.1747,0.0000,0.0000
963,250.3139,80.3667,74.6446,12.7650,,false,9,0.008333,4.3631,0.0750,1.00,1.00,4.9382,22,1,40,0,53760,191,191,0,0,824856576,12.7650,0.1093,4.3631,1.4870,0.0000,0.0000
964,250.4092,80.4500,83.1177,25.0280,,false,10,0.008333,3.3470,0.0833,1.00,1.00,4.7226,22,1,40,0,53760,191,191,0,0,824856576,25.0280,0.0836,3.3470,15.4533,0.0000,0.0000
965,250.4736,80.5250,76.9300,12.1924,,false,9,0.008333,3.6205,0.0750,1.00,0.97,6.6526,22,1,40,0,53760,191,191,0,0,824856576,12.1924,0.1030,3.6205,1.4733,0.0000,0.0000
966,250.5538,80.6083,81.6849,10.9202,,false,10,0.008333,3.2784,0.0833,1.00,1.00,5.0041,22,1,40,0,53760,191,191,0,0,824856576,10.9202,0.0821,3.2784,1.3659,0.0000,0.0000
967,250.6458,80.7000,91.6626,11.3210,,false,11,0.008333,3.8242,0.0917,1.00,1.00,5.0001,22,1,40,0,53760,191,191,0,0,824856576,11.3210,0.0763,3.8242,1.2029,0.0000,0.0000
