frame,wall_s,sim_time_s,frame_ms,cpu_ms,gpu_ms,gpu_available,steps,fixed_dt_s,sim_cpu_ms,sim_advanced_s,requested_warp,effective_warp,backlog_ms,bodies,vehicles,patches_visible,patches_generated,triangles,cache_hits,cache_misses,streaming_queued,assets_pending,rss_bytes,rails_advanced_s,server_compute_s,server_wall_s,server_effective_warp,scope:frame.cpu_ms,scope:render.atmosphere_ms,scope:sim.total_ms,scope:simulation.coast_bake_ms,scope:simulation.trajectory_prediction_ms,scope:world.streaming_ms,scope:world.terrain_materials_ms,scope:world.terrain_meshing_ms
639,6.7116,6.4417,7.6732,4.9416,,false,1,0.008333,0.1154,0.0083,1.00,1.00,3.0754,22,1,0,0,0,0,0,0,0,879190016,0.000000,0.000000,0.000000,0.00,4.9416,0.0749,0.1154,2.4616,0.1058,0.0000,0.0000,0.0000
640,6.7207,6.4500,8.4500,5.4845,,false,1,0.008333,0.0950,0.0083,1.00,0.99,3.1921,22,1,0,0,0,0,0,0,0,879190016,0.000000,0.000000,0.000000,0.00,5.4845,0.0708,0.0950,2.1279,0.1371,0.0000,0.0000,0.0000
641,6.7286,6.4583,8.3184,5.1006,,false,1,0.008333,0.2375,0.0083,1.00,1.00,3.1771,22,1,0,0,0,0,0,0,0,879194112,0.000000,0.000000,0.000000,0.00,5.1006,0.0588,0.2375,1.9581,0.0970,0.0000,0.0000,0.0000
642,6.7362,6.4667,7.9608,4.7932,,false,1,0.008333,0.2150,0.0083,1.00,1.00,2.8046,22,1,0,0,0,0,0,0,0,879194112,0.000000,0.000000,0.000000,0.00,4.7932,0.0582,0.2150,2.3041,0.1100,0.0000,0.0000,0.0000
643,6.7437,6.4750,7.6040,4.7663,,false,1,0.008333,0.1106,0.0083,1.00,1.00,2.0753,22,1,0,0,0,0,0,0,0,879194112,0.000000,0.000000,0.000000,0.00,4.7663,0.0528,0.1106,2.0880,0.2093,0.0000,0.0000,0.0000
644,6.7520,6.4833,7.7883,5.2225,,false,1,0.008333,0.1152,0.0083,1.00,1.00,1.5303,22,1,0,0,0,0,0,0,0,879194112,0.000000,0.000000,0.000000,0.00,5.2225,0.0677,0.1152,2.3594,0.1249,0.0000,0.0000,0.0000
645,6.7595,6.4917,7.6844,4.9236,,false,1,0.008333,0.1275,0.0083,1.00,1.00,0.8814,22,1,0,0,0,0,0,0,0,879194112,0.000000,0.000000,0.000000,0.00,4.9236,0.0478,0.1275,2.7099,0.1221,0.0000,0.0000,0.0000
646,6.7671,6.5000,8.1555,4.6595,,false,1,0.008333,0.1852,0.0083,1.00,1.00,0.7036,22,1,0,0,0,0,0,0,0,879194112,0.000000,0.000000,0.000000,0.00,4.6595,0.0593,0.1852,2.2386,0.1010,0.0000,0.0000,0.0000
647,6.7750,6.5083,7.8038,4.7271,,false,1,0.008333,0.0976,0.0083,1.00,1.00,0.1741,22,1,0,0,0,0,0,0,0,879194112,0.000000,0.000000,0.000000,0.00,4.7271,0.0423,0.0976,2.6604,0.1429,0.0000,0.0000,0.0000
648,6.7825,6.5083,7.8045,4.3007,,false,0,0.008333,0.0074,0.0000,1.00,0.00,7.9786,22,1,0,0,0,0,0,0,0,879194112,0.000000,0.000000,0.000000,0.00,4.3007,0.0735,0.0074,2.2654,0.0965,0.0000,0.0000,0.0000
649,6.7911,6.5167,7.9037,4.9369,,false,1,0.008333,0.3069,0.0083,1.00,1.00,7.5490,22,1,0,0,0,0,0,0,0,879194112,0.000000,0.000000,0.000000,0.00,4.9369,0.0610,0.3069,2.4998,0.0927,0.0000,0.0000,0.0000
650,6.7994,6.5250,7.8818,5.3379,,false,1,0.008333,0.1171,0.0083,1.00,1.00,7.0974,22,1,0,0,0,0,0,0,0,879194112,0.000000,0.000000,0.000000,0.00,5.3379,0.0517,0.1171,0.0000,0.1898,0.0000,0.0000,0.0000
651,6.8068,6.5333,8.1704,4.6393,,false,1,0.008333,0.1814,0.0083,1.00,1.00,6.9345,22,1,0,0,0,0,0,0,0,879194112,0.000000,0.000000,0.000000,0.00,4.6393,0.0322,0.1814,2.1746,0.0814,0.0000,0.0000,0.0000
652,6.8156,6.5417,9.1358,4.6005,,false,1,0.008333,0.0936,0.0083,1.00,0.91,7.7370,22,1,0,0,0,0,0,0,0,879194112,0.000000,0.000000,0.000000,0.00,4.6005,0.0487,0.0936,2.1795,0.0990,0.0000,0.0000,0.0000
653,6.8219,6.5500,6.9089,4.0108,,false,1,0.008333,0.1380,0.0083,1.00,1.00,6.3126,22,1,0,0,0,0,0,0,0,879198208,0.000000,0.000000,0.000000,0.00,4.0108,0.0774,0.1380,2.1368,0.0499,0.0000,0.0000,0.0000
654,6.8323,6.5583,8.9678,5.0870,,false,1,0.008333,0.1476,0.0083,1.00,0.93,6.9470,22,1,0,0,0,0,0,0,0,879198208,0.000000,0.000000,0.000000,0.00,5.0870,0.0531,0.1476,2.2375,0.0968,0.0000,0.0000,0.0000
655,6.8396,6.5667,7.5738,4.9842,,false,1,0.008333,0.1206,0.0083,1.00,1.00,6.1875,22,1,0,0,0,0,0,0,0,879198208,0.000000,0.000000,0.000000,0.00,4.9842,0.0629,0.1206,2.2061,0.2146,0.0000,0.0000,0.0000
656,6.8493,6.5750,8.5496,5.8672,,false,1,0.008333,0.3967,0.0083,1.00,0.97,6.4037,22,1,0,0,0,0,0,0,0,879198208,0.000000,0.000000,0.000000,0.00,5.8672,0.0778,0.3967,2.1469,0.1279,0.0000,0.0000,0.0000
